index,Increase,Date
0,3084.6572,2022-07-10 00:57:47.782328+00:00
0,495.84415,2022-07-10 00:58:26.225345+00:00
0,4277.9585,2022-07-10 00:59:06.528379+00:00
0,7274.9307,2022-07-10 01:02:26.279430+00:00
0,2663.9382,2022-07-10 01:03:04.468140+00:00
0,7075.089,2022-07-10 01:03:42.852873+00:00
0,10535.517,2022-07-10 01:33:54.655331+00:00
0,5928.1997,2022-07-10 01:34:27.723073+00:00
0,5936.113,2022-07-10 01:35:00.631926+00:00
